Formula,Volume,Density,IDs,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature (K)
Nb8 O16,288.6331088235784,5.748749535931039,mp-557057,-14.89039392125,-14.89039392125,-2.664013270416665,-0.055868474416664,12.171716615280026,207.449,81.941,74.59196272393925,1.403780888017117,21108.111910134765
Li8 Si8,247.9166306722312,1.8768526029033712,mp-795,-5.80208441,-5.80208441,-0.221848905833333,-0.037305260000001,15.69851942622916,52.319,36.261,38.18981492782555,1.323188680583738,11369.025337453593
Ti20 Si16,543.9586037520537,4.294248820498586,mp-505527,-11.895204706666668,-11.895204706666668,-0.808110990370371,-0.020895893194445,15.248539407090709,,,,,
Mg2 Al4 B56,485.0670386392511,2.608405066191156,mp-531611,-7.317607933709677,-7.317607933709677,-0.113368650645162,-0.053279880053764,7.874040352715209,189.975,174.61,156.97995540825525,3.774811019626709,37364.45085644489
Fe1 Si4 P4,142.79220689747766,3.396639512563861,mp-9198,-9.757435203333332,-9.757435203333332,-0.255573840211639,-0.025915371041666,16.06585721305646,112.916,90.786,128.4184570445738,1.509604358098442,45947.776475511244
Y6 Si12 N22,475.5045486597552,4.115892196462685,mp-1029652,-12.26975535375,-12.26975535375,-1.5697729620625012,-0.045227339250001,12.149820867107708,141.881,94.254,74.1896557679644,1.723162047379916,17775.82016059269
Sc4 Fe2 Si4,161.35955975904636,4.156048037745132,mp-3618,-11.639046036,-11.639046036,-0.6874675280000001,-0.000750008000004,16.296615895993593,110.477,75.98,90.92652990229531,1.254379669291556,31234.244746562228
Na2 C1 N2,63.736333599761366,2.240674884045876,mp-541989,-7.674240643999999,-7.674240643999999,-0.607621109499999,-0.5185745379999991,13.345879545701374,39.851,19.095,21.91360662930016,1.025608967833618,10259.367304255693
Sc2 Si2 O7,127.0403679229244,3.37333435829717,mp-5594,-10.918382289090909,-10.918382289090909,-3.449996883750001,-0.040473683446974,11.807527766919906,160.151,72.463,97.7458825969559,1.7527121176758782,36362.853726479705
Y2 Si2 O7,143.30917098954507,4.008890793864482,mp-5652,-12.616700612727271,-12.616700612727271,-3.527385461022729,-0.023559217348489,13.40665185844518,140.631,59.865,72.51617468381066,1.352338567575883,25914.91115977622
Na5 Re1 O6,141.1886243928703,4.670962864695527,mp-8253,-10.741854709166669,-10.741854709166669,-1.902961420416666,-0.121121938611109,12.468695993884472,56.295,37.483,26.92125804711468,1.020692562425082,9668.681871334917
Y2 Al3 Si2,133.0158303331908,3.931480264011236,mp-9177,-11.770004312857145,-11.770004312857145,-0.5741434414285721,-0.001008048571431,19.21930370807351,86.1,65.462,85.85630122664527,1.062817923779268,31453.96879345292
U1 Ti2 O6,112.64046251220874,6.335486454609978,mp-9771,-19.206252182222222,-19.206252182222222,-3.467057453425926,-0.041056776666646,12.622075560724715,138.601,58.663,58.17465249382437,1.097841530581363,22527.23046514389
